TeamId,OpponentId,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveRebounds,ThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
1610612754,1610612741,1,14,59,15,44,15,7,0.467,38,29,0.763,84,52,0.619,34,10,7,16
1610612749,1610612739,1,13,44,14,30,33,16,0.485,39,32,0.821,97,46,0.474,33,16,11,28
1610612749,1610612744,1,9,46,20,26,21,10,0.476,22,16,0.727,116,56,0.483,36,11,5,24
1610612744,1610612753,1,15,52,17,35,12,7,0.583,39,32,0.821,82,48,0.585,31,7,5,29
1610612744,1610612749,0,21,52,12,40,17,8,0.471,38,31,0.816,89,47,0.528,26,4,3,25
1610612739,1610612749,0,23,53,17,36,15,8,0.533,26,21,0.808,106,52,0.491,31,4,7,27
1610612742,1610612758,1,11,55,12,43,25,10,0.4,33,25,0.758,99,47,0.475,26,6,5,22
1610612744,1610612762,1,13,46,16,30,15,9,0.6,39,35,0.897,80,42,0.525,27,4,10,16
1610612763,1610612739,1,12,36,5,31,15,8,0.533,22,16,0.727,85,52,0.612,34,10,6,20
1610612747,1610612743,1,22,46,14,32,27,14,0.519,35,26,0.743,87,43,0.494,28,8,6,25
1610612763,1610612748,1,19,42,6,36,17,9,0.529,34,29,0.853,82,44,0.537,33,11,5,25
1610612758,1610612742,1,15,60,21,39,26,10,0.385,27,20,0.741,103,48,0.466,30,7,2,24
1610612754,1610612749,1,17,35,10,25,13,8,0.615,45,38,0.844,80,40,0.5,25,10,2,27
1610612746,1610612751,1,11,39,9,30,25,11,0.44,26,23,0.885,92,46,0.5,29,6,10,22
1610612757,1610612761,1,8,36,6,30,15,9,0.6,22,16,0.727,78,50,0.641,35,6,4,16
1610612740,1610612763,1,16,37,11,26,14,7,0.5,26,22,0.846,88,48,0.545,34,7,3,27
1610612757,1610612744,1,13,34,11,23,16,7,0.438,24,20,0.833,90,49,0.544,25,13,6,17
1610612738,1610612744,1,4,36,12,24,29,14,0.483,21,17,0.81,96,47,0.49,29,3,3,28
1610612752,1610612739,1,16,53,14,39,23,10,0.435,32,25,0.781,85,45,0.529,33,3,9,20
1610612753,1610612758,1,20,45,11,34,15,5,0.333,28,24,0.857,88,48,0.545,34,7,3,25
1610612759,1610612761,1,11,43,14,29,17,11,0.647,20,15,0.75,82,49,0.598,21,9,3,20
1610612739,1610612744,1,16,54,17,37,13,3,0.231,23,19,0.826,98,51,0.52,36,8,8,26
1610612763,1610612737,1,15,56,13,43,18,9,0.5,15,15,1.0,89,50,0.562,36,6,6,24
1610612763,1610612741,1,15,38,6,32,14,6,0.429,30,22,0.733,79,48,0.608,34,12,8,21
1610612742,1610612758,0,12,40,10,30,28,11,0.393,26,23,0.885,96,45,0.469,30,8,7,19
1610612747,1610612758,1,10,40,10,30,17,9,0.529,34,29,0.853,85,43,0.506,18,7,7,22
1610612758,1610612742,0,13,49,10,39,23,11,0.478,25,20,0.8,102,46,0.451,31,7,3,21
1610612763,1610612740,0,13,28,6,22,18,7,0.389,26,16,0.615,87,50,0.575,30,10,3,28
1610612758,1610612742,1,16,46,11,35,20,13,0.65,19,14,0.737,87,48,0.552,34,11,5,23
